DBID	locus	strain	gene_name	gene_name2	proteins_molecular_weight	protein_length
S000004953	YNL008C	S. cerevisiae	ASI3	Amino acid Sensor-Independent	77643.9	676
S000004954	YNL009W	S. cerevisiae	IDP3	"Isocitrate Dehydrogenase, NADP-dependent"	47868	420
S000004955	YNL010W	S. cerevisiae	PYP1	PolYol Phosphatase	27472.7	241
S000004956	YNL011C	S. cerevisiae			49897.7	444
S000004957	YNL012W	S. cerevisiae	SPO1	SPOrulation	72192.7	631
S000004958	YNL013C	S. cerevisiae			14984.1	125
S000004959	YNL014W	S. cerevisiae	HEF3	Homolog of EF-3	115852.8	1044
S000004960	YNL015W	S. cerevisiae	PBI2	Proteinase B Inhibitor	8587.9	75
S000004961	YNL016W	S. cerevisiae	PUB1	PolyUridylate Binding	50748.6	453
S000004962	YNL017C	S. cerevisiae			12547	112
S000004963	YNL018C	S. cerevisiae			69548.5	612
S000004964	YNL019C	S. cerevisiae			31323.3	284
S000004965	YNL020C	S. cerevisiae	ARK1	Actin Regulating Kinase	71382	638
S000004966	YNL021W	S. cerevisiae	HDA1	Histone DeAcetylase	80044.6	706
S000004967	YNL022C	S. cerevisiae	RCM1		56189.8	490
S000004968	YNL023C	S. cerevisiae	FAP1	FKBP12-Associated Protein	108515.1	965
S000004969	YNL024C	S. cerevisiae	EFM6	Elongation Factor Methyltransferase	27733.4	246
S000004970	YNL025C	S. cerevisiae	SSN8	Suppressor of SNf1	37789	323
S000004971	YNL026W	S. cerevisiae	SAM50	Sorting and Assembly Machinery	54411.6	484
S000004972	YNL027W	S. cerevisiae	CRZ1	Calcineurin-Responsive Zinc finger	76289.9	678
S000004973	YNL028W	S. cerevisiae			12458.5	105
S000004974	YNL029C	S. cerevisiae	KTR5	Kre Two Related	61710.3	522
S000004975	YNL030W	S. cerevisiae	HHF2	Histone H Four	11386.6	103
S000004976	YNL031C	S. cerevisiae	HHT2	Histone H Three	15378.3	136
S000004977	YNL032W	S. cerevisiae	SIW14	Synthetic Interaction with Whi2	32743.4	281
S000004978	YNL033W	S. cerevisiae			31383.4	284
S000004979	YNL034W	S. cerevisiae			69368.2	612
S000004980	YNL035C	S. cerevisiae			43829.7	389
S000004981	YNL036W	S. cerevisiae	NCE103	NonClassical Export	24857.5	221
S000004982	YNL037C	S. cerevisiae	IDH1	Isocitrate DeHydrogenase	39328.5	360
S000004983	YNL038W	S. cerevisiae	GPI15	GlycosylPhosphatidylInositol anchor biosynthesis	26834.1	229
S000004984	YNL039W	S. cerevisiae	BDP1	B Double Prime	67685.7	594
S000004985	YNL040W	S. cerevisiae			50959.6	456
S000004986	YNL041C	S. cerevisiae	COG6	Conserved Oligomeric Golgi complex	96952.5	839
S000004987	YNL042W	S. cerevisiae	BOP3	Bypass Of Pam1	43762.7	396
S000004988	YNL043C	S. cerevisiae			11309	106
S000004989	YNL044W	S. cerevisiae	YIP3	Ypt-Interacting Protein	19413.8	176
S000004990	YNL045W	S. cerevisiae	LAP2	Leucine AminoPeptidases	77343.3	671
S000004991	YNL046W	S. cerevisiae			19364.8	172
S000004992	YNL047C	S. cerevisiae	SLM2	Synthetic Lethal with Mss4	74792.1	656
S000004993	YNL048W	S. cerevisiae	ALG11	Asparagine-Linked Glycosylation	63156.8	548
S000004994	YNL049C	S. cerevisiae	SFB2	Sed Five Binding	98919.4	876
S000004995	YNL050C	S. cerevisiae			31437.6	270
S000004996	YNL051W	S. cerevisiae	COG5	Conserved Oligomeric Golgi complex	45609.9	403
S000004997	YNL052W	S. cerevisiae	COX5A	Cytochrome c OXidase	17147.8	153
S000004998	YNL053W	S. cerevisiae	MSG5	Multicopy Suppressor of GPA1	54216.1	489
S000004999	YNL054W	S. cerevisiae	VAC7	VACuolar segregation	128109.1	1165
S000005000	YNL055C	S. cerevisiae	POR1	PORin	30429.8	283
S000005001	YNL056W	S. cerevisiae	OCA2	Oxidant-induced Cell cycle Arrest	22469	197
S000005002	YNL057W	S. cerevisiae			11616.2	110
S000005003	YNL058C	S. cerevisiae			35045.4	316
S000005004	YNL059C	S. cerevisiae	ARP5	Actin-Related Protein	87536.1	755
S000005005	YNL061W	S. cerevisiae	NOP2	NucleOlar Protein	69780.8	618
S000005006	YNL062C	S. cerevisiae	GCD10	General Control Derepressed	54389.9	478
S000005007	YNL063W	S. cerevisiae	MTQ1	Methyltransferase	35886.3	314
S000005008	YNL064C	S. cerevisiae	YDJ1	Yeast dnaJ	44666.2	409
S000005009	YNL065W	S. cerevisiae	AQR1	Acids Quinidine Resistance	65311	586
S000005010	YNL066W	S. cerevisiae	SUN4	Sim1 Uth1 Nca3	43417.4	420
S000005011	YNL067W	S. cerevisiae	RPL9B	Ribosomal Protein of the Large subunit	21667.5	191
S000005012	YNL068C	S. cerevisiae	FKH2	ForK head Homolog	94390.9	862
S000005013	YNL069C	S. cerevisiae	RPL16B	Ribosomal Protein of the Large subunit	22277.6	198
S000005014	YNL070W	S. cerevisiae	TOM7	Translocase of the Outer Mitochondrial membrane	6871	60
S000005015	YNL071W	S. cerevisiae	LAT1		51819.7	482
S000005016	YNL072W	S. cerevisiae	RNH201	RNase H	34881.5	307
S000005017	YNL073W	S. cerevisiae	MSK1	"Mitochondrial aminoacyl-tRNA Synthetase, lysine (K)"	66141	576
S000005018	YNL074C	S. cerevisiae	MLF3	Multicopy suppressor of LeFlunomide sensitivity	49211.9	452
S000005019	YNL075W	S. cerevisiae	IMP4	Interacting with Mpp10p	33487.6	290
S000005020	YNL076W	S. cerevisiae	MKS1	Multicopy Kinase Suppressor	65656.6	584
S000005021	YNL077W	S. cerevisiae	APJ1	Anti-Prion DnaJ	58886.7	528
S000005022	YNL078W	S. cerevisiae	NIS1	Neck protein Interacting with Septins	45928.3	407
S000005023	YNL079C	S. cerevisiae	TPM1	TroPoMyosin	23515.8	199
S000005024	YNL080C	S. cerevisiae	EOS1	ER-localized and Oxidants Sensitive	41666.1	366
S000005025	YNL081C	S. cerevisiae	SWS2	Sick Without Securin	16106.3	143
S000005026	YNL082W	S. cerevisiae	PMS1	PostMeiotic Segregation	99343.3	873
S000005027	YNL083W	S. cerevisiae	SAL1	Suppressor of Aac2 Lethality	55763.6	494
S000005028	YNL084C	S. cerevisiae	END3	ENDocytosis defective	40289.8	349
S000005029	YNL085W	S. cerevisiae	MKT1	Maintenance of K2 Killer Toxin	94478.1	830
S000005030	YNL086W	S. cerevisiae	SNN1	SNapiN	11459.2	102
S000005031	YNL087W	S. cerevisiae	TCB2	Three Calcium and lipid Binding domains (TriCalBins)	132520.4	1178
S000005032	YNL088W	S. cerevisiae	TOP2	TOPoisomerase	164211.2	1428
S000005033	YNL089C	S. cerevisiae			17126	158
S000005034	YNL090W	S. cerevisiae	RHO2	Ras HOmolog	21475	192
S000005035	YNL091W	S. cerevisiae	NST1	Negatively affects Salt Tolerance	141462.4	1240
S000005036	YNL092W	S. cerevisiae			45489.2	400
S000005037	YNL093W	S. cerevisiae	YPT53	Yeast Protein Two	24640	220
S000005038	YNL094W	S. cerevisiae	APP1	Actin Patch Protein	66128	587
S000005039	YNL095C	S. cerevisiae			71197.2	642
S000005040	YNL096C	S. cerevisiae	RPS7B	Ribosomal Protein of the Small subunit	21646.6	190
S000005041	YNL097C	S. cerevisiae	PHO23	PHOsphate metabolism	37026	330
S000005042	YNL098C	S. cerevisiae	RAS2	homologous to RAS proto-oncogene	34705.7	322
S000005043	YNL099C	S. cerevisiae	OCA1	Oxidant-induced Cell-cycle Arrest	27178.4	238
S000005044	YNL100W	S. cerevisiae	MIC27	MItochondrial contact site and Cristae organizing system	26968.1	234
S000005045	YNL101W	S. cerevisiae	AVT4	Amino acid Vacuolar Transport	80040.6	713
S000005046	YNL102W	S. cerevisiae	POL1	POLymerase	166794.4	1468
S000005047	YNL103W	S. cerevisiae	MET4	METhionine requiring	74275.2	672
S000005048	YNL104C	S. cerevisiae	LEU4	LEUcine biosynthesis	68398.6	619
S000005049	YNL105W	S. cerevisiae	RRT16	Regulator of rDNA Transcription	16170.5	142
S000005050	YNL106C	S. cerevisiae	INP52	INositol polyphosphate 5-Phosphatase	133346.6	1183
S000005051	YNL107W	S. cerevisiae	YAF9	Yeast homolog of the human leukemogenic protein AF9	25972.4	226
S000005052	YNL108C	S. cerevisiae			30741.3	270
S000005053	YNL109W	S. cerevisiae			19719.5	181
S000005054	YNL110C	S. cerevisiae	NOP15	NucleOlar Protein	25455.4	220
S000005055	YNL111C	S. cerevisiae	CYB5	CYtochrome B	13283.9	120
S000005056	YNL112W	S. cerevisiae	DBP2	Dead Box Protein	61007.3	546
S000005057	YNL113W	S. cerevisiae	RPC19	RNA Polymerase C	16130.9	142
S000005058	YNL114C	S. cerevisiae			15049.1	123
S000005059	YNL115C	S. cerevisiae			74031.3	644
S000005060	YNL116W	S. cerevisiae	DMA2	Defective in Mitotic Arrest	57582	522
S000005061	YNL117W	S. cerevisiae	MLS1	MaLate Synthase	62789.8	554
S000005062	YNL118C	S. cerevisiae	DCP2	mRNA DeCaPping	108652.3	970
S000005063	YNL119W	S. cerevisiae	NCS2	Needs Cla4 to Survive	56468.1	493
S000005064	YNL120C	S. cerevisiae			17913.9	161
S000005065	YNL121C	S. cerevisiae	TOM70	Translocase of the Outer Mitochondrial membrane	70110.7	617
S000005066	YNL122C	S. cerevisiae	MRP35	Mitochondrial Ribosomal Protein	13269	115
S000005067	YNL123W	S. cerevisiae	NMA111	Nuclear Mediator of Apoptosis	110860.3	997
S000005068	YNL124W	S. cerevisiae	NAF1	Nuclear Assembly Factor	54918.9	492
S000005069	YNL125C	S. cerevisiae	ESBP6		73809.5	673
S000005070	YNL126W	S. cerevisiae	SPC98	Spindle Pole Component	98226.3	846
S000005071	YNL127W	S. cerevisiae	FAR11	Factor ARrest	109764.9	953
S000005072	YNL128W	S. cerevisiae	TEP1	TEnsin-like Phosphatase	50149.5	434
S000005073	YNL129W	S. cerevisiae	NRK1	Nicotinamide Riboside Kinase	27687.8	240
S000005074	YNL130C	S. cerevisiae	CPT1	CholinePhosphoTransferase	44824.7	393
S000005075	YNL131W	S. cerevisiae	TOM22	Translocase of the Outer Mitochondrial membrane	16770.5	152
S000005076	YNL132W	S. cerevisiae	KRE33	Killer toxin REsistant	119350	1056
S000005077	YNL133C	S. cerevisiae	FYV6	Function required for Yeast Viability	20043.2	173
S000005078	YNL134C	S. cerevisiae			41158.7	376
S000005079	YNL135C	S. cerevisiae	FPR1	Fk 506-sensitive Proline Rotamase	12157	114
S000005080	YNL136W	S. cerevisiae	EAF7	Esa1-Associated Factor	49369.6	425
S000005081	YNL137C	S. cerevisiae	NAM9	Nuclear Accommodation of Mitochondria	56383.7	486
S000005082	YNL138W	S. cerevisiae	SRV2	Suppressor of RasVal19	57514	526
S000005083	YNL139C	S. cerevisiae	THO2	suppressor of the Transcriptional defect of Hpr1 by Overexpression	183933.6	1597
S000005084	YNL140C	S. cerevisiae			21702.6	189
S000005085	YNL141W	S. cerevisiae	AAH1	Adenine AminoHydrolase	39618.2	347
S000005086	YNL142W	S. cerevisiae	MEP2		53397.1	499
S000005087	YNL143C	S. cerevisiae			15335.2	130
S000005088	YNL144C	S. cerevisiae			84191.4	740
S000005089	YNL145W	S. cerevisiae	MFA2	Mating Factor A	4229.9	38
S000005090	YNL146W	S. cerevisiae			11891.2	100
S000005091	YNL147W	S. cerevisiae	LSM7	Like SM	13010.2	115
S000005092	YNL148C	S. cerevisiae	ALF1	ALpha tubulin Folding	28336.8	254
S000005093	YNL149C	S. cerevisiae	PGA2	Processing of Gas1p and ALP	15051.2	129
S000005094	YNL150W	S. cerevisiae			14850.4	135
S000005095	YNL151C	S. cerevisiae	RPC31	RNA Polymerase C	27695.1	251
S000005096	YNL152W	S. cerevisiae	INN1	required for INgressioN	46225.3	409
S000005097	YNL153C	S. cerevisiae	GIM3	Gene Involved in Microtubule biogenesis	15169.2	129
S000005098	YNL154C	S. cerevisiae	YCK2	Yeast Casein Kinase	62090.1	546
S000005099	YNL155W	S. cerevisiae	CUZ1	Cdc48-associated UBL/Zn-finger protein	31527.3	274
S000005100	YNL156C	S. cerevisiae	NSG2		33664.9	299
S000005101	YNL157W	S. cerevisiae	IGO1	Initiation of G zerO	18057.3	168
S000005102	YNL158W	S. cerevisiae	PGA1	Processing of Gas1p and ALP	22380.1	198
S000005103	YNL159C	S. cerevisiae	ASI2	Amino acid Sensor-Independent	32993.1	289
S000005104	YNL160W	S. cerevisiae	YGP1	Yeast GlycoProtein	37324.2	354
S000005105	YNL161W	S. cerevisiae	CBK1	Cell wall Biosynthesis Kinase	86948	756
S000005106	YNL162W	S. cerevisiae	RPL42A	Ribosomal Protein of the Large subunit	12239	106
S000005107	YNL163C	S. cerevisiae	RIA1	RIbosome Assembly	124416.7	1110
S000005108	YNL164C	S. cerevisiae	IBD2	Inhibition of Bud Division 2	39990.5	351
S000005109	YNL165W	S. cerevisiae			46175.5	406
S000005110	YNL166C	S. cerevisiae	BNI5	Bud Neck Involved	49666.8	448
S000005111	YNL167C	S. cerevisiae	SKO1	Suppressor of Kinase Overexpression	70205.2	647
S000005112	YNL168C	S. cerevisiae	FMP41	Found in Mitochondrial Proteome	28796.4	259
S000005113	YNL169C	S. cerevisiae	PSD1	PhosphatidylSerine Decarboxylase	56605.5	500
S000005114	YNL170W	S. cerevisiae			14694.4	131
S000005115	YNL171C	S. cerevisiae			14647.4	122
S000005116	YNL172W	S. cerevisiae	APC1	Anaphase Promoting Complex subunit	196133.4	1748
S000005117	YNL173C	S. cerevisiae	MDG1	Multicopy suppressor of Defective G-protein	40274.4	366
S000005118	YNL174W	S. cerevisiae			20958.2	190
S000005119	YNL175C	S. cerevisiae	NOP13	NucleOlar Protein	45625.1	403
S000005120	YNL176C	S. cerevisiae	TDA7	Topoisomerase I Damage Affected	67394.5	636
S000005121	YNL177C	S. cerevisiae	MRPL22	"Mitochondrial Ribosomal Protein, Large subunit"	34920.9	309
S000005122	YNL178W	S. cerevisiae	RPS3	Ribosomal Protein of the Small subunit	26510.1	240
S000005123	YNL179C	S. cerevisiae			17627.1	145
S000005124	YNL180C	S. cerevisiae	RHO5	Ras HOmolog	36823.6	331
S000005125	YNL181W	S. cerevisiae	PBR1	Potentiates Bioactive compound Response	46517.5	407
S000005126	YNL182C	S. cerevisiae	IPI3	Involved in Processing ITS2	61760.5	555
S000005127	YNL183C	S. cerevisiae	NPR1	Nitrogen Permease Reactivator	85998.3	790
S000005128	YNL184C	S. cerevisiae			12485.9	108
S000005129	YNL185C	S. cerevisiae	MRPL19	"Mitochondrial Ribosomal Protein, Large subunit"	16681	158
S000005130	YNL186W	S. cerevisiae	UBP10	UBiquitin-specific Protease	88508.2	792
S000005131	YNL187W	S. cerevisiae	SWT21	Synthetic With Tgs1	40310.2	357
S000005132	YNL188W	S. cerevisiae	KAR1	KARyogamy	50666.8	433
S000005133	YNL189W	S. cerevisiae	SRP1	Suppressor of Rna Polymerase I	60421.9	542
S000005134	YNL190W	S. cerevisiae			21997.2	204
S000005135	YNL191W	S. cerevisiae	DUG3	Deficient in Utilization of Glutathione	40180.1	357
S000005136	YNL192W	S. cerevisiae	CHS1	CHitin Synthase	129855.9	1131
S000005137	YNL193W	S. cerevisiae			63886.8	558
S000005138	YNL194C	S. cerevisiae			34098.8	301
S000005139	YNL195C	S. cerevisiae			28315.3	261
S000005140	YNL196C	S. cerevisiae	SLZ1		34326.4	298
S000005141	YNL197C	S. cerevisiae	WHI3	WHIskey	71257.3	661
S000005142	YNL198C	S. cerevisiae			11785	100
S000005143	YNL199C	S. cerevisiae	GCR2	GlyColysis Regulation	58068	534
S000005144	YNL200C	S. cerevisiae	NNR1	Nicotinamide Nucleotide Repair	27524.2	246
S000005145	YNL201C	S. cerevisiae	PSY2	Platinum SensitivitY	98008.4	858
S000005146	YNL202W	S. cerevisiae	SPS19	SPorulation-Specific	31117.3	292
S000005147	YNL203C	S. cerevisiae			22433.7	203
S000005148	YNL204C	S. cerevisiae	SPS18	SPorulation-Specific	34245	300
S000005149	YNL205C	S. cerevisiae			16690	140
S000005150	YNL206C	S. cerevisiae	RTT106	Regulator of Ty1 Transposition	51576.2	455
S000005151	YNL207W	S. cerevisiae	RIO2	RIght Open reading frame	49106.4	425
S000005152	YNL208W	S. cerevisiae			20151.5	199
S000005153	YNL209W	S. cerevisiae	SSB2	Stress-Seventy subfamily B	66584.2	613
S000005154	YNL210W	S. cerevisiae	MER1	MEiotic Recombination	31111.3	270
S000005155	YNL211C	S. cerevisiae	MRX7	Mitochondrial oRganization of gene eXpression (MIOREX)	10659.5	86
S000005156	YNL212W	S. cerevisiae	VID27	Vacuolar Import and Degradation	88817.3	782
S000005157	YNL213C	S. cerevisiae	RRG9	Required for Respiratory Growth	25300.8	214
S000005158	YNL214W	S. cerevisiae	PEX17	PEroXisome related	23173.7	199
S000005159	YNL215W	S. cerevisiae	IES2	Ino Eighty Subunit	36123.2	320
S000005160	YNL216W	S. cerevisiae	RAP1	Repressor/Activator site binding Protein	92368.2	827
S000005161	YNL217W	S. cerevisiae	PPN2		37155.3	326
S000005162	YNL218W	S. cerevisiae	MGS1	Maintenance of Genome Stability	66551	587
S000005163	YNL219C	S. cerevisiae	ALG9	Asparagine-Linked Glycosylation	63786.1	555
S000005164	YNL220W	S. cerevisiae	ADE12	ADEnine requiring	48281.8	433
S000005165	YNL221C	S. cerevisiae	POP1	Processing Of Precursor RNAs	100455.3	875
S000005166	YNL222W	S. cerevisiae	SSU72	"Suppressor of SUa7, gene 2"	23462.7	206
S000005167	YNL223W	S. cerevisiae	ATG4	AuTophaGy related	55106	494
S000005168	YNL224C	S. cerevisiae	SQS1	SQuelch of Splicing suppression	86927.4	767
S000005169	YNL225C	S. cerevisiae	CNM67	Chaotic Nuclear Migration	67389	581
S000005170	YNL226W	S. cerevisiae			16048.8	136
S000005171	YNL227C	S. cerevisiae	JJJ1	J-protein (Type III)	68775.5	590
S000005172	YNL228W	S. cerevisiae			28634.8	258
S000005173	YNL229C	S. cerevisiae	URE2	UREidosuccinate transport	40265.2	354
S000005174	YNL230C	S. cerevisiae	ELA1	ELongin A	44014.3	379
S000005175	YNL231C	S. cerevisiae	PDR16	Pleiotropic Drug Resistance	40715.3	351
S000005176	YNL232W	S. cerevisiae	CSL4	Cep1 Synthetic Lethal	31578.7	292
S000005177	YNL233W	S. cerevisiae	BNI4	Bud Neck Involved	100546.5	892
S000005178	YNL234W	S. cerevisiae			47827.2	426
S000005179	YNL235C	S. cerevisiae			16153	143
S000005180	YNL236W	S. cerevisiae	SIN4	Switch INdependent	111309.9	974
S000005181	YNL237W	S. cerevisiae	YTP1	Yeast putative Transmembrane Protein	51639.5	459
S000005182	YNL238W	S. cerevisiae	KEX2	Killer EXpression defective	89957	814
S000005183	YNL239W	S. cerevisiae	LAP3	Leucine AminoPeptidases	52090.1	454
S000005184	YNL240C	S. cerevisiae	NAR1	Nuclear Architecture Related	54152.8	491
S000005185	YNL241C	S. cerevisiae	ZWF1	ZWischenFerment	57515	505
S000005186	YNL242W	S. cerevisiae	ATG2	AuTophaGy related	178385.2	1592
S000005187	YNL243W	S. cerevisiae	SLA2	Synthetic Lethal with ABP1	108880.1	968
S000005188	YNL244C	S. cerevisiae	SUI1	SUppressor of Initiator codon	12313.3	108
S000005189	YNL245C	S. cerevisiae	CWC25	Complexed With Cef1p	20386.7	179
S000005190	YNL246W	S. cerevisiae	VPS75	Vacuolar Protein Sorting	30592.1	264
S000005191	YNL247W	S. cerevisiae	CRS1	"Cysteinyl-tRNA Synthetase, CysRS"	87526	767
S000005192	YNL248C	S. cerevisiae	RPA49	RNA Polymerase A	46668.3	415
S000005193	YNL249C	S. cerevisiae	MPA43	Multicopy PDC1 Activator	61660.9	542
S000005194	YNL250W	S. cerevisiae	RAD50	RADiation sensitive	152549.6	1312
S000005195	YNL251C	S. cerevisiae	NRD1	Nuclear pre-mRNA Down-regulation	63871.7	575
S000005196	YNL252C	S. cerevisiae	MRPL17	"Mitochondrial Ribosomal Protein, Large subunit"	32218	281
S000005197	YNL253W	S. cerevisiae	TEX1	TrEX component	47176.3	422
S000005198	YNL254C	S. cerevisiae	RTC4	Restriction of Telomere Capping	46212.1	401
S000005199	YNL255C	S. cerevisiae	GIS2	GIg Suppressor	17107.9	153
S000005200	YNL256W	S. cerevisiae	FOL1	FOLic acid synthesis	93108.8	824
S000005201	YNL257C	S. cerevisiae	SIP3	SNF1-Interacting Protein	142839.1	1229
S000005202	YNL258C	S. cerevisiae	DSL1	Dependence on SLy1-20	88031.2	754
S000005203	YNL259C	S. cerevisiae	ATX1	AnTioXidant	8222.7	73
S000005204	YNL260C	S. cerevisiae	LTO1	required for biogenesis of the Large ribosomal subunit and initiation of Translation in Oxygen	18895.53	162
S000005205	YNL261W	S. cerevisiae	ORC5	Origin Recognition Complex	55281.8	479
S000005206	YNL262W	S. cerevisiae	POL2	POLymerase	255663.5	2222
S000005207	YNL263C	S. cerevisiae	YIF1	YIP1-Interacting Factor	35503.3	314
S000005208	YNL264C	S. cerevisiae	PDR17	Pleiotropic Drug Resistance	40677.2	350
S000005209	YNL265C	S. cerevisiae	IST1	Increased Sodium Tolerance	34489.9	298
S000005210	YNL266W	S. cerevisiae			15509	139
S000005211	YNL267W	S. cerevisiae	PIK1	Phosphatidyl Inositol Kinase	119912.6	1066
S000005212	YNL268W	S. cerevisiae	LYP1	LYsine-specific Permease	68088.1	611
S000005213	YNL269W	S. cerevisiae	BSC4	Bypass of Stop Codon	15336.8	131
S000005214	YNL270C	S. cerevisiae	ALP1		64015.9	573
S000005215	YNL271C	S. cerevisiae	BNI1	Bud Neck Involved	219655.2	1953
S000005216	YNL272C	S. cerevisiae	SEC2	SECretory	84622.5	759
S000005217	YNL273W	S. cerevisiae	TOF1	TOpoisomerase I-interacting Factor	141104.4	1238
S000005218	YNL274C	S. cerevisiae	GOR1	GlyOxylate Reductase	38824.8	350
S000005219	YNL275W	S. cerevisiae	BOR1	BORon transporter	65030.1	576
S000005220	YNL276C	S. cerevisiae			14118.6	131
S000005221	YNL277W	S. cerevisiae	MET2	METhionine requiring	53649	486
S000005222	YNL278W	S. cerevisiae	CAF120	CCR4 Associated Factor	118297.5	1060
S000005223	YNL279W	S. cerevisiae	PRM1	Pheromone-Regulated Membrane protein	73345.3	661
S000005224	YNL280C	S. cerevisiae	ERG24	ERGosterol biosynthesis	50624.8	438
S000005225	YNL281W	S. cerevisiae	HCH1	High-Copy Hsp90 suppressor	17235.4	153
S000005226	YNL282W	S. cerevisiae	POP3	Processing Of Precursor RNAs	22624	195
S000005227	YNL283C	S. cerevisiae	WSC2	cell Wall integrity and Stress response Component	52291.1	503
S000005228	YNL284C	S. cerevisiae	MRPL10	"Mitochondrial Ribosomal Protein, Large subunit"	36383.1	322
S000005229	YNL285W	S. cerevisiae			14070.1	123
S000005230	YNL286W	S. cerevisiae	CUS2	Cold sensitive U2 snRNA Suppressor	32271.5	285
S000005231	YNL287W	S. cerevisiae	SEC21	SECretory	104797.8	935
S000005232	YNL288W	S. cerevisiae	CAF40	CCR4 Associated Factor	41154.9	373
S000005233	YNL289W	S. cerevisiae	PCL1	Pho85 CycLin	32104.5	279
S000005234	YNL290W	S. cerevisiae	RFC3	Replication Factor C	38201	340
S000005235	YNL291C	S. cerevisiae	MID1	Mating pheromone-Induced Death	61544	548
S000005236	YNL292W	S. cerevisiae	PUS4	PseudoUridine Synthase	45269.8	403
S000005237	YNL293W	S. cerevisiae	MSB3	Multicopy Suppressor of Bud Emergence	73000.1	633
S000005238	YNL294C	S. cerevisiae	RIM21	Regulator of IME2	61527.9	533
S000005239	YNL295W	S. cerevisiae	MRX6	Mitochondrial oRganization of gene eXpression (MIOREX)	61264.2	524
S000005240	YNL296W	S. cerevisiae			11443.5	104
S000005241	YNL297C	S. cerevisiae	MON2	MONensin sensitivity	186808.5	1636
S000005242	YNL298W	S. cerevisiae	CLA4	CLn Activity dependant	93928.1	842
S000005243	YNL299W	S. cerevisiae	TRF5	Topoisomerase one-Related Function	74177.3	642
S000005244	YNL300W	S. cerevisiae	TOS6		10170.5	102
S000005245	YNL301C	S. cerevisiae	RPL18B	Ribosomal Protein of the Large subunit	20593.7	186
S000005246	YNL302C	S. cerevisiae	RPS19B	Ribosomal Protein of the Small subunit	15897.3	144
S000005247	YNL303W	S. cerevisiae			13566	115
S000005248	YNL304W	S. cerevisiae	YPT11	Yeast Protein Two	47112.6	417
S000005249	YNL305C	S. cerevisiae	BXI1	BaX Inhibitor	33636.2	297
S000005250	YNL306W	S. cerevisiae	MRPS18	"Mitochondrial Ribosomal Protein, Small subunit"	24580.8	217
S000005251	YNL307C	S. cerevisiae	MCK1	Meiosis and Centromere regulatory Kinase	43142.3	375
S000005252	YNL308C	S. cerevisiae	KRI1	KRR1-Interacting protein	68621.3	591
S000005253	YNL309W	S. cerevisiae	STB1	Sin Three Binding protein	45693.4	420
S000005254	YNL310C	S. cerevisiae	ZIM17	ZInc finger Motif protein of 17 kDa	19866.4	174
S000005255	YNL311C	S. cerevisiae	SKP2	homology with human SKP2	88939	763
S000005256	YNL312W	S. cerevisiae	RFA2	Replication Factor A	29922.4	273
S000005257	YNL313C	S. cerevisiae	EMW1	Essential for Maintenance of the cell Wall	102321.3	904
S000005258	YNL314W	S. cerevisiae	DAL82	Degradation of Allantoin	29079.3	255
S000005259	YNL315C	S. cerevisiae	ATP11	ATP synthase	36857.7	318
S000005260	YNL316C	S. cerevisiae	PHA2	PHenylAlanine requiring	38217.6	334
S000005261	YNL317W	S. cerevisiae	PFS2	Polyadenylation Factor Subunit	53146.9	465
S000005262	YNL318C	S. cerevisiae	HXT14	HeXose Transporter	60980	540
S000005263	YNL319W	S. cerevisiae			16058.3	146
S000005264	YNL320W	S. cerevisiae			32309.6	284
S000005265	YNL321W	S. cerevisiae	VNX1	Vacuolar Na+/H+ eXchanger	102493.5	908
S000005266	YNL322C	S. cerevisiae	KRE1	Killer toxin REsistant	32159.3	313
S000005267	YNL323W	S. cerevisiae	LEM3	Ligand-Effect Modulator	47431	414
S000005268	YNL324W	S. cerevisiae			14867.1	131
S000005269	YNL325C	S. cerevisiae	FIG4	Factor-Induced Gene	101720.8	879
S000005270	YNL326C	S. cerevisiae	PFA3	Protein Fatty Acyltransferase	39186	336
S000005271	YNL327W	S. cerevisiae	EGT2	Early G1 Transcript	108492.6	1041
S000005272	YNL328C	S. cerevisiae	MDJ2	Mitochondrial DnaJ homolog	16484.7	146
S000005273	YNL329C	S. cerevisiae	PEX6	PEroXin	115553.4	1030
S000005274	YNL330C	S. cerevisiae	RPD3	Reduced Potassium Dependency	48887.5	433
S000005275	YNL331C	S. cerevisiae	AAD14	Aryl-Alcohol Dehydrogenase	41988.4	376
S000005276	YNL332W	S. cerevisiae	THI12	THIamine metabolism	38624.2	340
S000005277	YNL333W	S. cerevisiae	SNZ2	SNooZe	32025.4	298
S000005278	YNL334C	S. cerevisiae	SNO2	SNZ proximal Open reading frame	25207.3	222
S000005279	YNL335W	S. cerevisiae	DDI3	DNA Damage Inducible	25147.7	225
S000005280	YNL336W	S. cerevisiae	COS1	COnserved Sequence	45295.5	381
S000005281	YNL337W	S. cerevisiae			9706.3	84
S000005282	YNL338W	S. cerevisiae			5950.7	52
S000005283	YNL339C	S. cerevisiae	YRF1-6		211098.4	1859
S000005284	YNR001C	S. cerevisiae	CIT1	CITrate synthase	53362.5	479
S000005285	YNR002C	S. cerevisiae	ATO2	Ammonia (Ammonium) Transport Outward	30696.4	282
S000005286	YNR003C	S. cerevisiae	RPC34	RNA Polymerase C	36126.5	317
S000005287	YNR004W	S. cerevisiae	SWM2	Synthetic With mud2-delta	17092.7	146
S000005288	YNR005C	S. cerevisiae			14727.5	134
